osm_id,category,name,name_mr,amenity,office,operator,phone,addr,pip_inund,ovt_inund,dist_dam_km,pip_dep_max,pip_vel_max,pip_arr_min,pip_ev_cod,pip_ev_win,ovt_dep_max,ovt_vel_max,ovt_arr_min,ovt_ev_cod,ovt_ev_win
1371595312,Water Well,Water Well — Raleras — Raleras — Raleras,,,,,,,False,False,12.113,,,,P5,8+ hours,,,,P5,8+ hours
1371595313,Water Well,Water Well — Raleras — Raleras — Raleras,,,,,,,False,False,12.113,,,,P5,8+ hours,,,,P5,8+ hours
1371595314,Water Well,Water Well — Raleras — Raleras — Raleras,,,,,,,False,False,12.031,,,,P5,8+ hours,,,,P5,8+ hours
1371595315,Water Well,Water Well — Raleras — Raleras — Raleras,,,,,,,False,False,9.457,,,,P5,8+ hours,,,,P5,8+ hours
1371595316,Water Well,Water Well — Raleras — Raleras — Raleras,,,,,,,False,False,9.441,,,,P5,8+ hours,,,,P5,8+ hours
1371595317,Water Well,Water Well — Raleras — Raleras — Raleras,,,,,,,False,False,9.144,,,,P5,8+ hours,,,,P5,8+ hours
1371595318,Water Well,Water Well — Dhamgaon(Dumala) — Dhamgaon(Dumala) — Dhamgaon(Dumala),,,,,,,False,False,8.812,,,,P5,8+ hours,,,,P5,8+ hours
1371595319,Water Well,Water Well — Dhamgaon(Dumala) — Dhamgaon(Dumala) — Dhamgaon(Dumala),,,,,,,False,False,8.717,,,,P5,8+ hours,,,,P5,8+ hours
1371595320,Water Well,Water Well — Dhamgaon(Dumala) — Dhamgaon(Dumala) — Dhamgaon(Dumala),,,,,,,False,False,9.173,,,,P5,8+ hours,,,,P5,8+ hours
1371595321,Water Well,Water Well — Raleras — Raleras — Raleras,,,,,,,False,False,9.173,,,,P5,8+ hours,,,,P5,8+ hours
1371595322,Water Well,Water Well — Dhamgaon(Dumala) — Dhamgaon(Dumala) — Dhamgaon(Dumala),,,,,,,False,False,9.144,,,,P5,8+ hours,,,,P5,8+ hours
1371595323,Water Well,Water Well — Raleras — Raleras — Raleras,,,,,,,False,False,9.473,,,,P5,8+ hours,,,,P5,8+ hours
1371595324,Water Well,Water Well — Raleras — Raleras — Raleras,,,,,,,False,False,9.457,,,,P5,8+ hours,,,,P5,8+ hours
1371595325,Water Well,Water Well — Raleras — Raleras — Raleras,,,,,,,False,False,9.457,,,,P5,8+ hours,,,,P5,8+ hours
1371595326,Water Well,Water Well — Raleras — Raleras — Raleras,,,,,,,False,False,9.473,,,,P5,8+ hours,,,,P5,8+ hours
1371595327,Water Well,Water Well — Raleras — Raleras — Raleras,,,,,,,False,False,9.473,,,,P5,8+ hours,,,,P5,8+ hours
1371595328,Water Well,Water Well — Dhamgaon(Dumala) — Dhamgaon(Dumala) — Dhamgaon(Dumala),,,,,,,False,False,9.457,,,,P5,8+ hours,,,,P5,8+ hours
1371595329,Water Well,Water Well — Raleras — Raleras — Raleras,,,,,,,False,False,9.473,,,,P5,8+ hours,,,,P5,8+ hours
